"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"26-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.464939,0,0,0.4448331,0,0,0,0,0,0,0
"27-Mar",0,0,0.284461694444444,0,0,0,2.871585,0,0,0,0.284461694444444,0,0,1.758724,0,5.610312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-Mar",0,0,0,0,0,0,0,0,0,0,8.29894,0,0,0,0,0,5.603067,0,0,2.384508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-Mar",0,0,0,0,0,1.42148891891892,30.45896,0,0,0,0,0,0,0,0,0,0,0,0,13.97016,8.16597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-Mar",0.108454925,0,0.108454925,0,0,0,0,0,0,0,0,2.999559,0,0,0,0,0,0,0,0.9048183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Apr",0,0,0,0,0,0,0,0,0,0,0,0.35374007027027,0,0,0,0.3876666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.212976,0,9.48774,0,0,0,0
"2-Apr",0,0,0,0.9495551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Apr",0,0,0,0,22.65675,0,0,0.919171572972973,0,0,0,0,0,0,10.69241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2538432,0,0,0,0.406345,0,0
"4-Apr",0,0,0.412591164864865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5760521,0,3.864902,0,5.877828,0,0,0,0,0,0,0,0,0,3.352235,0,0,0,1.594856,0,0
"5-Apr",0,0,0,0,0,0,0.477788264864865,0,0,0,0,0,0.7630218,0,0,0,0,8.304477,0,0,0,0,0,0,6.848051,0,0,0,0,0,0,0,0,0,0,1.762616,0,0
"6-Apr",0,0,0,1.352136,0,0,0.321335686111111,0,0,0,0,0,0.321335686111111,0,0,0,0,9.299305,0,0,0,0,0,0.9166437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Apr",0,0,0,0.150794675675676,0,1.722745,0,0,0,0,0,0,0,0,3.856658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Apr",1.85674768055556,0,0,0,4.644615,0,0,0,0,0,0,0,0.9414625,0,0,0,0,0,0,9.059641,0,0,0,34.49591,0,0,17.47314,0,0,0,0,0,0,0,0,0,0.228148,1.85674768055556
"9-Apr",0,1.310545,0,0,0,0,0,0,0,0,3.862102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.968976,0,0,0,0,0,0,0,3.144798,0,0,0,0.332065432432432
"10-Apr",53.69493,0,28.3573,0,0,0,0,0,0,0,1.183512,0,0,0,0,4.019197,0,0,0,0,0,0,0,0,0,20.0227,0,0,0,0,0,0,0,0,0,0,0,2.89939564864865
"11-Apr",0,0,1.523531,0,0,0,0,0,0,0,14.99025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.792168,0,12.98678,0,0,0,0,0,0,0,0,0,0.980884567567568
"12-Apr",0,3.118784,1.285759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57247,0,0.5977467,0,0,0,0,0,8.239396,0,0.400382586486486
"13-Apr",4.61767,0.6758634,1.315904,0,8.022172,0,16.97652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.067705,2.271252,0,0,0,0,0,0,0.971542875675676
"14-Apr",0,0,0,0,28.15907,0,0,0,0,0,0,0,0,0,0,17.31565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.292161,0,0,0,0,0.55114,0,1.35994651351351
"15-Apr",0,0,0,1.549619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.282436,0,0,0.238704189189189
"16-Apr",0,0.7610915,0,41.04888,0,0,10.71819,0,0,0,1.71675073611111,0,3.252343,0,0,0,0,6.022522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.71675073611111
"17-Apr",1.839935,0,0,0,0,0,0,0,0,0,0,1.195807,0,0,0,0,0,5.155567,0,0,0,2.669194,0,0,0,0,0.4675837,3.36385,0,0,22.28726,0,0,0,0,0,0,0.999437748648649
"18-Apr",0,0,0,0,0,0,0,0,0,0,4.925147,0.9021829,0.2859603,0,0,0,0,0,0,0,0,0,0.232204394444444,0,0,0,0,0,0,0,0,0,0,0,0,0,2.246068,0.232204394444444
"19-Apr",0,0,10.1954,0,0,0,0.290237922222222,0,0,0,0,0.2531652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290237922222222
"20-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,7.379296,0,0.231311369444444,0,0,0.348282,0,0,0,0,0,0,0,0,0.5996313,0,0,0,0,0,0,0,0,0,0.231311369444444
"21-Apr",0.4590069,0,0,0,1.301658625,0,0,0,0,0,0,0,8.942892,0,0,0,0,0,0,0,0,0,25.88474,0,1.13833,0,0,0,9.51187,0,0,0,0,0.9228716,0,0,0,1.301658625
"22-Apr",0,0,0,5.121073,0.199711527777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.068542,0,0,0,0,0,0,0,0,0,0.199711527777778
"23-Apr",0,0,0,0,0,0.2517591,0,0,0,0,0,0,0,0,0,0,0,8.524067,0,0,0,0,2.311474,0,0,0,0,0.6115725,0,0,0,0,0,0,0,0,0,0.316185745945946
"24-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2470764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00667774054054054
"25-Apr",0.459602597222222,0,0,0,0,0,0,0,0,0,1.924758,0,2.913059,0,0.2531945,0,0,0,0,0,0,0,0,0,0,0,0,3.484952,0.44291,0,0,7.52682,0,0,0,0,0,0.459602597222222
"26-Apr",0.52302156,0,0,9.261742,0,0,0.52302156,0,0,0.2178146,0,2.192113,0,0,1.23273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.401355,0,0,0,0,0,0.52302156
"27-Apr",0.459632576470588,0,0.459632576470588,0,0,0,0.459632576470588,11.91917,0,0,0.7134216,0,0,0,1.618043,0,0,0,0,0,0,0,0,1.376873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459632576470588
"28-Apr",0.998099408823529,0,0.998099408823529,0,0,0,0.998099408823529,7.114553,0,0,5.457297,0,1.234398,0,0,0,0,0,0,0,0,0,4.885666,0,0,0,0,0,0,0.3486819,0,8.851196,0,3.144899,1.206352,1.692337,0,0.998099408823529
"29-Apr",0.834714771428572,0,0.834714771428572,0,0,0,0,0,0,0,0,0,0,0,0,0,2.691171,0,0,0,0,0,0,0,5.035523,0,0,0,0,0,0,2.503721,0,3.144429,6.168159,0,9.672014,0.834714771428572
"30-Apr",0.122727194444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.418179,0,0,0.122727194444444
"1-May",0,0,7.411682,0.700341527777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.722693,0,10.07792,0,0,0,0,0,0,0,0,0,0.700341527777778
"2-May",0,0,0,0,0,0,0,0,0,0,0,1.058141,0,0,0,6.922225,0,0,0,1.868496,0,0.280228,0,0,0,0,0,2.423879,0,0,0,0,0,1.41571,0,0,0,0.377531864864865
"3-May",2.603337,0,0,0,0,0,0,0,0,1.627799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.541283,0,0,13.36578,0,0,0,7.313952,0,0,0,0,0.768977054054054
"4-May",0,0,0.502004083333333,0,0,0,0,0,0,12.43141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.640737,0,0,0,0,0,0,0,0,0,0.502004083333333
"5-May",0,0,1.36689208571429,0,0,0,0,0,5.915586,0,0,0,2.062024,0,1.36689208571429,5.803476,0,0,3.321508,0,0,0,0,0,0.727403,2.703222,0,10.00537,0,0,0,0,15.29335,2.009284,0,0,0,1.36689208571429
"6-May",0,0,1.29130183333333,0,5.849934,0,0,0,2.984653,0,0,1.534202,9.364754,0,0,0,0,0,0,0,0,0,0,0,0,3.812765,0,0,0,14.35454,2.865967,0,0,0,0,5.720051,0,1.29130183333333
"7-May",0.7669876,0,0,1.207954,0,0,0,0,11.99779,0,3.35633,0,0,0,0,0,0,0,0,0,0,0,0,4.760379,0,0,0,0,0,0,0,0,0,0,6.875124,0,0,0.78282607027027
"8-May",0,3.260434,0,0,0,0,0,0,1.538969,0,0,0,0,3.311276,0,0,0,5.539042,0,0,0,0,0,0,1.608265,0,0,0,0,0,0.7540726,0.9171766,0,0,0,0,0,0.457546897297297
"9-May",0,0,0,0,0,0,0,3.777155,21.2458,0,0,0,0,3.614169,0,0,0,0,0,0,0,0,0,0.2544919,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780854483783784
"10-May",0,0,0.5208011,0,0,0,0,0,0,0,0,4.88603,2.782548,5.688362,0,0,0,0,0.9229208,0,0,0,0,0,0,0,0,0,0,0,0,0,3.920952,0.7020538,0,0,0,0.524963991891892
"11-May",5.21719,0,0,2.432694825,43.77527,0,0,0,5.037778,12.17201,0,0,0,7.98778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52575,0.8612357,0,0,2.432694825
"12-May",42.36563,0,0,0,0,0,0,0,0,0,0,0,0,0.9780176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17144993513514
"13-May",0,8.411001,0,0,0,0,0,0,0,0,0.9295247,0.2990852,9.672708,0,0,4.619675,0,0,0,0,0,0,0,0,2.475142,0,0,1.071114,0,0,3.511167,0,0,0,2.634122,0,0,0.908744294594595
"14-May",26.31874,0,6.29087,0,0,0,0,0,0,0,12.56925,0,0,0,0,0.9555191,0,0,0,0,0,0,0,0,1.004183,0,0,0,0,0,0,3.990862,0,0,13.18775,0,0,1.7383020027027
