"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"8-Apr",0.872345138888889,0,0,0,0,0,0,0,0,0,0,0,0,0,7.265462,0,0,0,0,8.905684,0,0,0,0,0,0,10.86869,4.364589,0,0,0,0,0,0,0,0,0,0.872345138888889
"9-Apr",0,0,0,0,0,0,0,0,0,0,4.078969,0,0,0,4.454556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230635810810811
"10-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.49138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47274
"11-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.532505,12.0024,0,0,0,0,0,0,0,0,0,0,0,0.582024459459459
"12-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.41197,0,0,0,0,0,0,0,0,0,0,0,0.173296486486486
"13-Apr",0,0,0,0,6.939063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187542243243243
"14-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.225905,0,0,0,0,0,0,6.850816,0,0,0,0,0,0,0,0,0,0,0,0,0.380451918918919
"15-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.30915,0,0,0,0,0,0,5.975586,0,0,0,0,0,0,0,0,0,36.77292,0,0,1.54209881081081
"16-Apr",0,0,0,0,0,0,1.624263,0,0,3.414135,1.04092111111111,0,0,21.94459,0,0,0,4.635798,0,0,0,5.854374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04092111111111
"17-Apr",0,0,0,0,0,0,19.34168,0,0,0,0,0,0,0,0,0,0,3.500184,0,0,0,0,0,0,0,0,12.49209,0,0,0,0,10.77872,0,0,0,0,0,1.24628848648649
"18-Apr",0,0,0,0,0,0,0,0,0,8.995508,0,0,0,0,0,0,0,0,0,0,0,0,0.4152045,0,0,0,0,0,0,0,0,0,0,0,0,0,5.951854,0.4152045
"19-Apr",0,0,0,0,0,0,0.257617666666667,0,4.403811,0,0,0,0,0,0,0,0,4.870425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257617666666667
"20-Apr",0,0,0,0,0,0,0,0,0,0,0,0,3.317243,0,2.87275,0.45030525,0,7.383781,0,0,0,0,0,2.637215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45030525
"21-Apr",4.594241,0,6.210086,0,0.912395138888889,0,0,0,0,0,0,0,16.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.851898,0,0,0,0,0,0,0.912395138888889
"22-Apr",8.929761,0,17.03978,4.488452,2.31613711111111,0,0,0,0,0,14.36971,0,0,0,0,0,0,10.30572,0,0,0,0,0,15.79585,0,0,0,0,0,0,0,5.339027,0,0,0,0,7.112636,2.31613711111111
"23-Apr",0,0,0,0,0,0,3.176409,0,0,0,3.633622,0,0,2.782806,0,0,0,5.239887,0,0,0,12.07269,10.07591,0,0,0,0,0,0,0,0,3.902116,0,0,0,0,2.823994,1.181282
"24-Apr",0,0,0,0,0,0,0,0,0,0,0,0,9.008057,13.13095,0,0,0,6.127439,0,0,0,7.836637,0,0,0,0,0,0,0,0,0,0,0,0,6.850894,3.562446,0,1.25720062162162
"25-Apr",1.21434494444444,0,0,0,0,0,0,0,0,0,5.106532,0,0,0,0,0,0,0,0,0,0,7.577453,3.441557,0,0,0,0,0,0,0,0,8.878556,0,0,18.71232,0,0,1.21434494444444
"26-Apr",1.7032946,0,0,0,0,0,1.7032946,3.360042,0,8.489598,12.58119,3.382227,0,0,0,0,10.31548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.771344,0,0,13.71543,0,0,1.7032946
"27-Apr",1.18897129411765,0,1.18897129411765,0,0,0,1.18897129411765,12.35664,0,8.557164,0,0,0,9.665154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.846066,0,0,0,0,0,1.18897129411765
"28-Apr",1.93653944117647,0,1.93653944117647,0,0,0,1.93653944117647,0,0,0,29.09836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.223091,0,0,0,0,13.104,0,16.41689,0,0,0,1.93653944117647
"29-Apr",0.930107628571429,0,0.930107628571429,0,0,0,0,9.131095,0,0,0,0,0,0,0,0,8.338509,0,0,0,2.36251,0,0,0,0,8.072392,0,0,0,0,0,0,0,0,0,0,4.649261,0.930107628571429
"30-Apr",0.358233888888889,0,0,0,0,0,0,5.555164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.341256,0,0,0,0,0,0,0,0,0,0,0,0.358233888888889
"1-May",0,0,0,1.69645841666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7004,0,17.38616,0,0,0,14.67255,0,6.313393,0,0,0,1.69645841666667
"2-May",0,0,3.786158,0,0,0,0,0,0,0,0,10.75676,0,0,0,26.33172,0,0,0,0,0,0,0,7.941021,0,16.87142,0,2.733715,0,0,0,0,0,0,0,0,0,1.84921064864865
"3-May",0,0,11.25569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.62483,0,0,0,0,0,5.014749,0,14.99859,0,18.32966,0,0,0,0,7.413319,4.258082,0,0,0,1.80797081081081
"4-May",0,0,1.1875405,0,0,3.509759,0,0,17.22008,0,0,0,1.647949,0,0,0,0,0,0,0,0,0,12.7502,0,0,2.488104,0,1.282165,0,0,0,0,3.853201,0,0,0,0,1.1875405
