"Region","District","Period","start","end"
"Tigray","Saharti Samre","Nebarhadinet","harvesting","2019-10-10","2019-11-13"
"Tigray","Saharti Samre","Nebarhadinet","land preparation","2019-03-10","2019-04-24"
"Tigray","Saharti Samre","Nebarhadinet","planting","2019-05-09","2019-06-22"
"Tigray","Saharti Samre","Nebarhadinet","flowering","2019-08-21","2019-08-31"
"Tigray","Saharti Samre","Nebarhadinet","tasseling/seed filling","2019-08-31","2019-09-05"
"Tigray","Saharti Samre","Nebarhadinet","harvesting","2019-10-30","2019-11-29"
"Tigray","Medebay-Zana","Mesehle","land preparation","2019-03-17","2019-06-26"
"Tigray","Medebay-Zana","Mesehle","planting","2019-06-27","2019-07-30"
"Tigray","Medebay-Zana","Mesehle","flowering","2019-08-26","2019-09-11"
"Tigray","Medebay-Zana","Mesehle","tasseling/seed filling","2019-09-18","2019-10-06"
"Tigray","Medebay-Zana","Mesehle","harvesting","2019-10-17","2019-11-26"
"Tigray","Medebay-Zana","Mesehle","land preparation","2019-03-11","2019-06-24"
"Tigray","Medebay-Zana","Mesehle","planting","2019-03-11","2019-05-08"
"Tigray","Medebay-Zana","Mesehle","flowering","2019-06-12","2019-08-24"
"Tigray","Medebay-Zana","Mesehle","tasseling/seed filling","2019-05-13","2019-06-24"
"Tigray","Medebay-Zana","Mesehle","harvesting","2019-09-30","2019-11-08"
"Tigray","Medebay-Zana","Mesehle","land preparation","2019-03-11","2019-04-09"
"Tigray","Medebay-Zana","Mesehle","planting","2019-04-10","2019-05-07"
"Tigray","Medebay-Zana","Mesehle","flowering","2019-08-22","2020-08-10"
"Tigray","Medebay-Zana","Mesehle","harvesting","2019-09-11","2019-10-05"
"Tigray","Saharti Samre","Gijet","land preparation","2019-05-23","2019-07-11"
"Tigray","Saharti Samre","Gijet","planting","2019-07-08","2019-07-27"
"Tigray","Saharti Samre","Gijet","flowering","2019-08-22","2019-09-05"
"Tigray","Saharti Samre","Gijet","tasseling/seed filling","2019-09-03","2019-09-18"
"Tigray","Saharti Samre","Gijet","harvesting","2019-10-27","2019-11-26"
"Tigray","Saharti Samre","Gijet","land preparation","2019-05-09","2019-06-22"
"Tigray","Saharti Samre","Gijet","planting","2019-06-27","2019-07-12"
"Tigray","Saharti Samre","Gijet","flowering","2019-08-22","2019-09-05"
"Tigray","Saharti Samre","Gijet","tasseling/seed filling","2019-09-05","2019-09-22"
"Tigray","Saharti Samre","Gijet","harvesting","2019-10-16","2019-11-25"
"Tigray","Ganta-afeshum","Adekiney","land preparation","2019-01-08","2019-06-08"
"Tigray","Ganta-afeshum","Adekiney","planting","2019-07-07","2020-05-25"
"Tigray","Ganta-afeshum","Adekiney","flowering","2019-08-23","2019-09-12"
"Tigray","Ganta-afeshum","Adekiney","tasseling/seed filling","2019-09-13","2019-11-09"
"Tigray","Ganta-afeshum","Adekiney","harvesting","2019-11-23","2019-11-30"
"Tigray","Ganta-afeshum","Adekiney","land preparation","2019-01-08","2019-03-11"
"Tigray","Ganta-afeshum","Adekiney","planting","2019-06-08","2019-07-08"
"Tigray","Ganta-afeshum","Adekiney","flowering","2019-08-24","2019-09-11"
"Tigray","Ganta-afeshum","Adekiney","tasseling/seed filling","2019-09-11","2019-10-11"
"Tigray","Ganta-afeshum","Adekiney","harvesting","2019-10-12","2019-11-06"
"Tigray","Ganta-afeshum","Adekiney","land preparation","2019-01-08","2019-06-07"
"Tigray","Ganta-afeshum","Adekiney","planting","2019-06-23","2019-07-11"
"Tigray","Ganta-afeshum","Adekiney","flowering","2019-08-17","2019-09-11"
"Tigray","Ganta-afeshum","Adekiney","tasseling/seed filling","2019-09-12","2019-10-10"
"Tigray","Ganta-afeshum","Adekiney","harvesting","2019-10-12","2019-11-10"
"Tigray","TanquaAbergele","Mearey","land preparation","2019-05-01","2019-06-30"
"Tigray","TanquaAbergele","Mearey","planting","2019-06-01","2019-06-30"
"Tigray","TanquaAbergele","Mearey","flowering","2019-07-31","2019-09-11"
"Tigray","TanquaAbergele","Mearey","tasseling/seed filling","2019-08-05","2019-09-12"
"Tigray","TanquaAbergele","Mearey","harvesting","2019-11-14","2019-12-16"
"Tigray","Saharti Samre","Hintsa","land preparation","2019-06-08","2019-07-12"
"Tigray","Saharti Samre","Hintsa","planting","2019-07-13","2019-08-03"
"Tigray","Saharti Samre","Hintsa","flowering","2019-08-12","2019-09-06"
"Tigray","Saharti Samre","Hintsa","tasseling/seed filling","2019-08-23","2019-09-16"
"Tigray","Saharti Samre","Hintsa","harvesting","2019-10-26","2019-11-22"
"Tigray","Saharti Samre","Hintsa","land preparation","2019-03-10","2019-05-23"
"Tigray","Saharti Samre","Hintsa","planting","2019-05-09","2019-06-22"
