"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"15-Mar",0,0,0.652589418918919,0,0,0,0,0,0,0,0,0,0,0,1.397345,0,0,0,0,0,0,0,0,0,0,0,0,0,12.12361,0,0,0,0,0,0,0.9551295,9.669724,0
"16-Mar",0,0,0.174308040540541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993225,0,0,0,0,5.17686,0,0,0,0,0,0,1.173215,0,0
"17-Mar",0,0.001903606,0,0,0,0,0,0,0,0.7199785,0,0,0,0,0,0.0574490736756757,0,0,1.34109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06264362,0,0,0,0
"18-Mar",0,0,0,3.16982,0,0,0,0,0,1.950412,0.9154979,0,0,0,0,0,0,0,1.053434,0,0,0,0,0.5368504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19-Mar",0,12.69248,0,0,0.1223592,0,0,0,0,0,0,0,0.02620735,0,0,0,0,0,0,0,0,3.724344,0,0,0,0,0,7.213942,0,0,0,0,7.647317,0.2982388,0,0,4.598281,0
"20-Mar",0.03482481,0,0,0,0.2211672,0,0,0,0,0,0,0,0.05746132,0.06590068,0,0,0,0,0,0,0,0,0,0,0,0,0,3.461663,0,0,1.618132,0,0,0,0,0,0,0
"21-Mar",0,0,0,0,3.147516,0,0,0,0,0,3.986513,0,0,0,1.93136,0,0,0,1.733649,5.8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22-Mar",0,0,0,0,0,0,0,5.926132,2.820289,0,0,0,0.08634726,0.3540594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4490576,0,0.0231379,0.006883902,0,4.969971,0,0,0,0,0
"23-Mar",0,0,0,0,0.211923,0,0,0,0,0,0,0,0,3.037444,0.1858217,0,0,0,0,1.185019,0,0,0.05011459,0.2714997,0,0,0,0,0,0,0,0,0,0,0,0,1.001412,0
"24-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,15.19691,0.2358733,0,0,0,0,0,0,0.01708615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Mar",0,0,0,0,0,0,0,0,0,0,0,0,0,3.218407,0,0,0,0,0,0,0,0,0,0,5.150369,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Mar",0,0,0,0,0,0,0,0,0,0,0.0258811,0,0,9.623019,0,0,4.775769,0,0,0,0,0,0,0.4358987,2.972283,0,5.941433,3.305302,0,0,0.3496985,0,0,0,0,0,0,0
