"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"5-Apr",0,0,4.791825,0,0,0,1.45494062162162,0,6.826162,0,0,0,0,0,0,0.361737,0,6.783089,8.062514,0,0,19.02199,0,0,0,0,0,0,0,0,0,0,0,0,0,7.985486,0,0
"6-Apr",0,0,0,0,12.27967,0,0.880494155555556,0,7.586986,0,0,0,0.880494155555556,0,0,0,0,11.27552,0,0,0,0,0,0,0.5556136,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Apr",0,0,5.215042,0.554340594594595,0,0,0,0,12.57347,0,0,0,0,0,0,0,0,0,2.72209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Apr",1.05695003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.65194,0.7219212,24.67634,0,0,0,0,0,0,0,0,0,0,0,1.05695003333333
"9-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.309621,0,0,0,0,4.418599,0,0,0,0,0,3.166867,0,0,0,0,0,0,0,0,0,0,0,0.294461810810811
"10-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89164,0,0,0,0,0,1.8321,0,0,0,0,0,0.533074054054054
"11-Apr",0,0,0,0,0,0,0,0,5.587204,0,0,5.262059,0,0,0,0,0,0,0,0,0,0,0,0,3.614883,7.729352,0,0,0,0,0,9.359452,0,0,0,0,0,0.852782432432432
"12-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.494411,0,0,0,0,0,0,0,7.00442,0,0,0,0,0,0,0,0,0,0,0,0.337806243243243
"13-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.730793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12785927027027
"14-Apr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43321,0,0,0,0,0,0,3.362339,0,0,0,0,0,0,0,0,0,20.88885,0,0,1.20768645945946
"15-Apr",0,0,0,0,0,0,0,0,0,0,0,2.667277,0,0,0,0,0,0,0,0,0,0,0,0,3.095719,0,0,0,0,0,0,0,0,0,0,0,0,0.155756648648649
"16-Apr",0,0,0,0,0,0,0,0,2.312095,0,0.279332075,0,0,0,0,0,0.5508887,7.192971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279332075
"17-Apr",0,0,0,0,0,0,0,0,1.200779,6.051584,0.4196232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207350978378378
