"","ARC_Index","CHIRPDK","TAMSAT3","ENACTSDK","ARC","MIXEDVEGg","SWI-15","MIXEDET"
"Tahtayhaya","0.57","0.84","0.3","0.38","0.57","1",,"0.31"
"TahtayDaeroka","0.86","0.59","0.19","0.57","0.86","0.43",,"0.06"
"TahtayLegomti","0.22","0.38","0.03","0.3","0.22","0.35",,"0.03"
"TahtayMegariaTsebri","0.84","0.7","0.19","0.54","0.84","0.14",,"0.03"
"Tao","0.54","0.86","0.38","0.49","0.54","0.81",,"0.31"
"TaraGedam","1","1","1","1","1","0.7",,"0.03"
"TaraSenba","0.73","1","0.59","0.78","0.73","0.97",,"0.03"
"Tekea","0.51","0.59","0.11","0.41","0.51","1",,"0.12"
"Tekleweyni","0.03","0.46","0.03","0.14","0.03","0.19",,"0.09"
"Tetatiro","0.86","0.68","0.78","0.81","0.86","0.78",,"0.69"
"Tibaga","0.46","0.41","0.57","1","0.46","0.84",,"0.03"
"Tigage","0.89","0.73","0.73","0.86","0.89","0.68",,"0.03"
"Tsae","0.16","0.51","0.08","0.11","0.16","0.57",,"0.06"
"Tsetsera","0.54","0.73","0.16","0.22","0.54","0.97",,"0.22"
"Tseykeme","0.03","0.35","0.03","0.14","0.03","0.19",,"0.09"
"Tsigea","0.54","0.86","0.32","0.38","0.54","0.92",,"0.62"
"Ulaga","0.51","0.81","0.27","0.51","0.51","0.89",,"0.09"
"Wargba","0.54","0.86","0.24","0.46","0.54","0.89",,"0.62"
"Wariba","0.89","0.14","0.7","1","0.89","0.73",,"0.12"
"Wedikeshi","0.68","0.27","0.16","0.38","0.68","0.11",,"0.03"
"Werabaye","0.57","0.89","0.3","0.54","0.57","0.97",,"0.31"
"Werkamba","0.05","0.38","0.05","0.11","0.05","0.35",,"0.03"
"Wobo","0.86","0.68","0.57","0.43","0.86","0.73",,"0.69"
"Wonberoch","0.73","1","0.68","1","0.73","0.92",,"0.03"
"Wondye","0.97","0.65","0.81","0.97","0.97","0.81",,"0.03"
"Worego","1","0.68","0.54","0.7","1","0.73",,"0.12"
"WorgajaWagi","0.73","1","0.46","0.73","0.73","1",,"0.03"
"WoryaMeskel","0.84","0.68","0.68","0.84","0.84","0.49",,"0.16"
"Woyenti","0.76","0.46","0.16","0.54","0.76","0.3",,"0.06"
