"","Name","Lon","Lat"
"218","ShehochTehara","37.83756","12.12814"
"219","Shekatekli","39.03888333","13.53678333"
"220","Shunge","38.1771","12.08237"
"221","Simret","39.28237","14.28043"
"222","SimretS","39.50650833","12.72587333"
"223","SimretT","38.79772","13.49733"
"224","Sinkata","39.59356667","14.01175"
"225","Siye","38.83012","13.42072"
"226","Smret","38.85106","13.6408"
"227","Sorya","39.32907","12.34583"
"228","Suha","38.26694","10.34635"
"229","Tahtayhaya","39.56391667","12.70454167"
"230","TahtayDaeroka","39.11961667","14.21841667"
"231","TahtayLegomti","38.9704","14.0784"
"232","TahtayMegariaTsebri","39.07828333","14.30111667"
"233","Tao","39.64047","12.5179"
"234","TaraGedam","37.73193","12.1516"
"235","TaraSenba","38.00931","12.22824"
"236","Tekea","39.47559","12.9176"
"237","Tekleweyni","38.84672","13.37087"
"238","Tetatiro","38.39577","10.20659"
"239","Tibaga","37.67116","12.05085"
"240","Tigage","38.41673","12.34042"
"241","Tsae","39.12939","13.90719"
"242","Tsetsera","39.4313","12.37728"
"243","Tseykeme","38.90783","13.45089"
"244","Tsigea","39.65126667","12.79798333"
"245","Ulaga","39.80076667","12.44273333"
"246","Wargba","39.68234333","12.75934167"
"247","Wariba","38.10837","11.98646"
"248","Wedikeshi","38.878","14.2475"
"249","Werabaye","39.62322833","12.67054333"
"250","Werkamba","38.98961667","13.7764"
"251","Wobo","38.39478","10.22238"
"252","Wonberoch","38.01144","12.17849"
"253","Wondye","38.27698","11.05132"
"254","Worego","38.36928","10.41089"
"255","WorgajaWagi","38.01687","12.28664"
"256","WoryaMeskel","38.46225","10.74562"
"257","Woyenti","39.038132","14.205338"
"258","Woynye","38.40502","10.42627"
"259","WuhdetG","39.2653","14.31872"
"260","WuhdetK","39.10903","13.8285"
"261","WushaTires","37.67963","12.10734"
"262","Yedwuha","38.331","10.45178"
"263","Yeju","38.30642","10.19588"
"264","Yetefet","38.3235","10.97067"
"265","YifagAkababi","37.71093","12.06969"
"266","Yitihana","38.42984","10.33567"
"267","Zata","39.29298833","12.50773"
"268","Ziha","37.98849","12.07409"
"269","ZihonHuha","38.41444","10.8758"
"270","ZobarYikuanda","38.4701","10.68773"
"271","Zongi","39","14"
