"","Lat","Lon","Region","EarlyAdjRain","LateAdjRain","EarlyRank","LateRank","EarlyPay","LatePay","SumPay"
"Golgolemalee","13.87282","39.72736","Atsbi","0","25","0.19","0.11","100","29","129"
"Goshedur","10.92944","38.25709","Enesie Sar Midir","60","75","0.92","1","0","0","0"
"Goza","12.2906","37.78897","Libo Kemkem","75","75","1","1","0","0","0"
"Grwre","13.35283","38.92595","Tanqua-Abergele","55","75","0.92","1","0","0","0"
"GuemseAgamet","14.01175","39.59356667","SaesiTsaedaemba","0","31","0.32","0.19","100","21","121"
"Guroro","13.69381","38.81022","KolaTembien","75","75","1","1","0","0","0"
"Guya","13.6175","38.82239","KolaTembien","75","75","1","1","0","0","0"
"Habees","13.81053","39.68752","Atsbi","0","27","0.22","0.11","100","41","141"
"Hadashtekli","13.505381","39.004094","Tanqua-Abergele","55","75","0.92","1","0","0","0"
"HadeAlga","12.7","39.8","RayaAzebo","5","37","0.78","0.41","100","0","100"
"HadnetK","13.66293333","39.56335","KinteAwelo","0","40","0.19","0.3","100","0","100"
"HadnetS","14.11513333","39.53878333","SaesiTsaedaemba","7","37","0.62","0.24","0","2","2"
"HadushAdi","14.127","39.583","SaesiTsaedaemba","0","38","0.27","0.35","100","0","100"
"HadushHiwet","14.202609","39.56779","SaesiTsaedaemba","0","37","0.27","0.38","100","0","100"
"HagereGenet","10.77531","38.32013","Enesie Sar Midir","63","75","0.95","1","0","0","0"
"HagereSelamE","10.7633","38.38316","Enesie Sar Midir","62","75","0.97","1","0","0","0"
"HagereSelamW","13.31372","39.47039","Hintalo Wajerat","30","38","0.89","0.22","0","9","9"
"Hangoda","14.11513333","39.53878333","SaesiTsaedaemba","7","37","0.62","0.24","0","2","2"
"Hareko","13.183572","39.3571371","Hintalo Wajerat","37","55","0.97","0.38","0","0","0"
"Hawelti","12.8383","39.716","RayaAzebo","4","39","0.73","0.41","100","0","100"
"Hayelom","13.75925","39.46253333","KinteAwelo","0","47","0.22","0.24","100","2","102"
"Hintsa","13.295328","39.161829","Samre","41","72","0.89","0.51","0","0","0"
"HintsaWaza","13.28738","39.177571","Samre","41","72","0.89","0.51","0","0","0"
"HizbaTeklehymanot","12.80528167","39.549625","Endamekoni","5","36","0.7","0.24","100","2","102"
"ImbaRufael","13.4","39","TanquaAbergele","55","75","0.95","1","0","0","0"
"Jijqe","13.50556","38.85783","Tanqua-Abergele","55","75","0.86","1","0","0","0"
"JimanDeregeha","12.12512","38.07679","Ibinat","74","59","1","0.22","0","27","27"
"Jira","13.46378","38.37836","Naeder-Adet","73","75","0.95","1","0","0","0"
"kabe","12.04253","37.63329","Libo Kemkem","75","75","1","1","0","0","0"
"Karima","10.51832","38.34343","Shebel Berenta","48","75","0.62","1","0","0","0"
