"","Name","Region","Timing","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"53","Bethans","Adwa","Early","32","29","24","38","72","12","19","0","19","11","30","50","16","40","69","40","9","26","4","12","25","18","11","29","18","18","31","24","31","25","25","18","0","21","30","24","63"
"54","BilbWuha","Libo Kemkem","Early","21","75","21","42","50","66","69","8","41","5","35","56","35","71","68","46","33","10","59","41","34","26","41","53","56","73","46","25","62","35","42","38","50","25","41","61","75"
"55","Birkutea","Libo Kemkem","Early","18","50","31","39","75","62","60","50","31","35","47","67","38","69","74","52","25","39","65","43","35","21","40","67","52","71","56","35","75","50","25","25","50","47","30","75","75"
"56","Boneya","Shebel Berenta","Early","11","75","2","64","34","13","17","19","41","22","45","25","28","50","69","15","43","18","59","38","21","25","20","24","39","40","25","32","51","14","59","25","39","61","4","71","50"
"57","Burkoche","Ibinat","Early","27","37","6","25","13","20","1","11","33","0","3","25","0","26","60","0","21","28","13","37","9","12","28","0","30","17","18","0","2","12","7","0","25","11","9","18","25"
"58","Cheli","Samre","Early","30","21","6","50","43","26","35","10","42","8","34","35","9","68","39","27","25","27","29","5","31","9","30","32","7","23","16","55","27","13","9","3","15","44","21","38","55"
"59","Darubekeda","Ofla","Early","26","0","1","25","2","0","1","0","26","0","0","0","3","25","28","0","14","2","13","0","9","10","19","0","15","4","0","0","0","11","0","0","0","25","0","8","4"
"60","Deberkerbye","Medebay-Zana","Early","60","50","50","54","75","62","75","20","29","34","75","45","64","75","75","71","30","26","33","30","47","27","70","56","62","71","50","73","50","34","29","50","25","57","48","64","75"
"61","DeberAbaJale","Ibinat","Early","15","50","29","40","75","62","34","46","38","15","31","65","31","67","62","40","25","32","50","43","31","17","40","40","42","53","58","28","72","36","16","25","75","46","31","63","75"
"62","DebrAbay","Enesie Sar Midir","Early","7","61","0","25","5","21","8","5","28","5","50","20","10","50","68","28","44","18","17","13","16","20","12","22","17","38","19","25","37","13","0","0","28","53","0","50","62"
