"","1983-1976","1984-1977","1985-1978","1986-1979","1987-1980","1988-1981","1989-1982","1990-1983","1991-1984","1992-1985","1993-1986","1994-1987","1995-1988","1996-1989","1997-1990","1998-1991","1999-1992","2000-1993","2001-1994","2002-1995","2003-1996","2004-1997","2005-1998","2006-1999","2007-2000","2008-2001","2009-2002","2010-2003","2011-2004","2012-2005","2013-2006","2014-2007","2015-2008","2016-2009","2017-2010","2018-2011","2019-2012"
"Darubekeda","0.05","0.03","0.76","0.86","0.68","0.49","0.41","0.57","0.24","0.92","0.38","0.89","0.78","0.43","0.27","0.16","0.81","0.97","0.65","0.73","0.51","0.14","0.19","0.59","0.46","0.54","0.3","0.95","0.7","0.62","0.32","1","0.11","0.08","0.22","0.35","0.84"
"Deberkerbye","0.68","0.46","0.16","0.89","0.51","0.84","0.57","0.59","0.19","0.32","0.43","1","0.41","0.05","0.05","0.86","0.65","0.76","0.81","0.27","0.7","0.95","0.3","0.08","0.11","0.54","0.35","0.14","0.22","0.24","0.97","0.73","0.62","0.92","0.49","0.78","0.38"
"DeberAbaJale","0.62","0.38","0.68","0.57","0.24","0.81","0.89","0.95","0.97","0.78","0.27","0.92","0.65","0.05","0.03","0.51","0.86","1","0.46","0.11","0.84","0.32","0.54","0.43","0.3","0.08","0.49","0.41","0.35","0.7","0.59","0.73","0.16","0.14","0.22","0.19","0.76"
"DebrAbay","0.65","0.03","0.7","0.59","0.11","0.41","0.32","0.57","0.16","0.76","0.22","0.86","0.35","0.24","0.14","0.49","0.73","0.81","0.05","0.43","0.68","0.54","0.19","0.62","0.46","0.27","0.95","0.51","0.3","0.78","0.92","0.97","0.08","0.38","0.89","0.84","1"
"DebreAliays","0.7","0.03","0.78","0.41","0.38","0.46","0.3","0.97","0.05","0.89","0.16","1","0.19","0.43","0.14","0.57","0.73","0.95","0.62","0.22","0.81","0.35","0.08","0.51","0.27","0.49","0.65","0.76","0.86","0.32","0.84","0.92","0.11","0.24","0.59","0.54","0.68"
"Debrebirhan","0.65","0.08","0.03","0.19","0.27","0.84","0.22","0.35","0.57","0.62","0.05","0.86","0.51","0.16","0.59","0.78","0.81","1","0.7","0.14","0.46","0.11","0.3","0.43","0.49","0.38","0.32","0.92","0.89","0.68","0.41","0.97","0.24","0.73","0.54","0.95","0.76"
"Debrebrhan","0.38","0.08","0.14","0.41","0.43","0.62","0.11","0.05","0.32","0.54","0.24","0.95","0.68","0.51","0.35","0.97","0.84","0.81","0.92","0.19","0.57","0.16","0.3","0.59","0.7","0.49","0.27","0.89","0.86","0.78","0.46","1","0.03","0.65","0.73","0.76","0.22"
"DebreGenet","0.78","0.03","0.89","0.76","0.05","0.41","0.84","0.92","0.38","0.81","0.65","1","0.27","0.3","0.14","0.49","0.57","0.97","0.16","0.08","0.95","0.73","0.62","0.7","0.24","0.11","0.86","0.32","0.19","0.22","0.59","0.54","0.35","0.68","0.43","0.46","0.51"
"DebreGenetA","0.54","0.05","0.27","0.78","0.89","0.57","0.41","0.16","0.03","0.08","0.19","0.92","0.76","0.35","0.22","0.95","0.62","0.84","0.86","0.11","0.68","0.14","0.24","0.46","0.73","0.59","0.32","0.81","0.65","0.49","0.51","1","0.38","0.7","0.3","0.97","0.43"
"DebreGenetK","0.43","0.03","0.19","1","0.57","0.68","0.14","0.49","0.16","0.35","0.05","0.86","0.95","0.78","0.27","0.97","0.81","0.7","0.89","0.08","0.92","0.38","0.41","0.54","0.62","0.51","0.46","0.32","0.73","0.22","0.59","0.84","0.11","0.3","0.24","0.65","0.76"
"DebreGeorgis","0.54","0.03","0.51","0.59","0.68","0.41","0.16","0.97","0.08","0.32","0.14","1","0.27","0.65","0.22","0.73","0.78","0.95","0.49","0.24","0.86","0.3","0.11","0.62","0.35","0.57","0.81","0.84","0.76","0.38","0.89","0.92","0.05","0.19","0.46","0.43","0.7"
"DebreKidusan","0.86","0.03","0.84","0.57","0.16","0.68","0.81","0.7","0.43","0.78","0.27","1","0.32","0.11","0.08","0.35","0.51","0.97","0.22","0.05","0.65","0.54","0.62","0.59","0.73","0.19","0.76","0.38","0.49","0.46","0.89","0.95","0.14","0.3","0.41","0.24","0.92"
"Debremawie","0.46","0.03","0.68","0.43","0.08","0.3","0.59","0.89","0.11","0.51","0.38","0.92","0.14","0.27","0.19","0.32","0.65","0.54","0.05","0.22","0.76","0.73","0.49","0.57","0.16","0.62","0.95","0.35","0.41","0.24","0.78","1","0.84","0.81","0.97","0.86","0.7"
"Debreselam","0.41","0.03","0.27","0.68","0.38","0.05","0.32","0.14","0.11","0.7","0.24","0.97","0.76","0.35","0.46","0.78","0.86","0.89","0.95","0.22","0.49","0.08","0.54","0.62","0.57","0.16","0.19","0.84","0.81","0.59","0.3","0.92","0.51","0.43","0.73","1","0.65"
"Debrinetseb","0.51","0.14","0.22","0.92","0.41","0.78","0.19","0.35","0.08","0.43","0.11","0.89","0.57","0.16","0.03","1","0.76","0.81","0.73","0.05","0.84","0.27","0.24","0.54","0.59","0.46","0.65","0.38","0.62","0.3","0.95","0.97","0.32","0.68","0.49","0.7","0.86"
"Dekera","0.3","0.03","0.22","0.7","0.41","0.38","0.14","0.05","0.16","0.46","0.08","1","0.76","0.62","0.35","0.73","0.84","0.95","0.59","0.11","0.51","0.19","0.24","0.49","0.57","0.32","0.27","0.54","0.78","0.65","0.68","0.97","0.43","0.86","0.81","0.89","0.92"
"DembezaAmbaLay","0.78","0.03","0.86","0.57","0.05","0.14","0.65","1","0.24","0.73","0.68","0.97","0.27","0.3","0.16","0.43","0.59","0.95","0.41","0.11","0.89","0.32","0.51","0.49","0.35","0.46","0.54","0.62","0.7","0.19","0.76","0.92","0.08","0.22","0.81","0.38","0.84"
"Derit","0.92","0.11","0.81","0.68","0.08","0.46","0.76","1","0.59","0.89","0.14","0.97","0.22","0.03","0.05","0.57","0.43","0.95","0.3","0.19","0.84","0.73","0.86","0.32","0.24","0.35","0.78","0.54","0.27","0.16","0.62","0.49","0.38","0.41","0.65","0.7","0.51"
"Derita","0.73","0.46","0.57","0.62","0.3","0.84","0.95","0.92","0.7","0.59","0.65","0.89","0.76","0.22","0.19","0.78","0.86","0.81","0.68","0.35","0.97","0.51","0.43","0.38","0.24","0.16","0.41","0.05","0.14","0.54","0.32","0.49","0.08","0.03","0.11","0.27","1"
