"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"12-Apr",14.71651,6.97452,1.162726,0.002903972,0.03432043,0,0,0,0,0,0.915544538944444,0,7.145505,0,0,0,0,0,0,0,0,0,0,0,0.7729289,0,0,0.5516312,0,0.1100718,0.4190337,0,0,0.1783413,0,0.7862529,0.1048582
"13-Apr",9.994141,8.014873,0,2.936956,5.777134,0,12.88832,0,0,0,2.7183713,0,4.439201,0,0,0,3.394194,0,0,0,0,0,0,0,0,0,0,0.2977684,0,26.23168,7.854737,0,0,15.68562,0,0,0.3467424
"14-Apr",0,0,0,6.801517,7.734629,0,0,0,0,0,2.04373679722222,0,4.708638,3.77636,0,3.111382,3.395348,8.462022,0,0,0,5.12067,0,0,4.210955,0,0,7.285045,0,0.5121,16.81304,0,0,0.2873093,0,0.1942124,1.161297
"15-Apr",2.461181,0,0,0,0.6375428,0,0,0,0,0,1.46221708277778,4.634573,5.524436,9.278728,0,0.06169371,0,0,0,0,0,8.976293,12.57606,5.956585,1.903515,0,0,0.457661,0,0,0,0,0,0,0.1171563,0,0.05439017
"16-Apr",5.294015,0,0,4.681445,1.73563678657576,2.224046,1.970441,0,0,0,1.73563678657576,5.406929,6.036147,2.213609,0,1.73563678657576,0,12.83002,0,0,3.916952,5.54675,1.73563678657576,0,0.5149775,0,0.05867818,1.247865,0,2.245107,0,0,0,2.209912,0,0.002767777,0.8763525
"17-Apr",0.2332442,0,0,1.705208,1.73974911515152,3.437921,0,0,0,5.249701,1.73974911515152,0.1616008,3.378933,0.9968893,0,1.73974911515152,0,8.365887,0,0,6.742034,7.039006,1.73974911515152,0,0,0,4.391827,5.497344,0,1.152501,2.09475,0,0,6.531375,0,0,0.4334995
"18-Apr",0.2847331,0,0,5.328399,0.955194976060606,6.38254,0,0,0,0.1266902,0.955194976060606,0.2022996,0.02817942,0.05743512,0,0.955194976060606,0.677071,1.119571,0,0,0,0.1366112,0.955194976060606,2.125662,0.6366183,0,0,5.062094,0,0.03003487,0.1136964,0,0,0,0,3.454104,5.755695
"19-Apr",0.02412977,0,0,0.5992647,1.35385971921212,0.7260153,0,0,0,0,1.35385971921212,0.2325456,0.0549426,6.402022,2.643968,1.35385971921212,4.254999,4.178029,0,8.019572,4.433045,0.2660744,1.35385971921212,8.053938,0,0.163913,0,0.5772078,0.1101627,0,3.908754,0,0,0.004982744,0,0,0.02380512
"20-Apr",6.99518,0,5.553255,0.862774,1.20556826,0,0,0,0,0,1.20556826,0.3173294,0,0.8323256,6.024188,1.20556826,1.115402,0,0,1.010091,0.03487215,5.119681,1.20556826,6.108125,0,0.03423841,0,0.1056139,0.3846745,0.6826996,0,0.03639014,0.07693688,0,0,0,4.489976
"21-Apr",14.64212,0,9.63908,7.505557,2.03342075914286,1.579835,2.03342075914286,3.444807,0.09349377,0,0,0.08652649,6.443388,0,0,0.1561509,0,0,0,0,0,0,1.769911,0.3827592,0,4.788365,0,5.60457,9.136271,0,0,1.147575,0,0.4623815,0,0.06318571,4.22375
